date,country,Zuzuege D,Fortzuege D,Wanderungssaldo D,Zuzuege A,Fortzuege A,Wanderungssaldo A,Zuzuege I,Fortzuege I,Wanderungssaldo I
2002-01-01,KAZ,33964.0,529.0,33435.0,11901.0,2334.0,9567.0,45865.0,2863.0,43002.0
2002-01-01,JOR,133.0,127.0,6.0,831.0,499.0,332.0,964.0,626.0,338.0
2002-01-01,KWT,22.0,34.0,-12.0,80.0,51.0,29.0,102.0,85.0,17.0
2002-01-01,KGZ,1715.0,49.0,1666.0,1556.0,487.0,1069.0,3271.0,536.0,2735.0
2002-01-01,LBN,229.0,229.0,0.0,3102.0,1438.0,1664.0,3331.0,1667.0,1664.0
2002-01-01,PAK,233.0,261.0,-28.0,2967.0,1570.0,1397.0,3200.0,1831.0,1369.0
2002-01-01,PHL,400.0,335.0,65.0,1854.0,1107.0,747.0,2254.0,1442.0,812.0
2002-01-01,KOR,119.0,102.0,17.0,2902.0,2020.0,882.0,3021.0,2122.0,899.0
2002-01-01,ARE,226.0,309.0,-83.0,261.0,147.0,114.0,487.0,456.0,31.0
2002-01-01,T,61.0,27.0,34.0,142.0,55.0,87.0,203.0,82.0,121.0
2002-01-01,Saudi-Arabien,186.0,141.0,45.0,369.0,196.0,173.0,555.0,337.0,218.0
2002-01-01,Singapur,467.0,372.0,95.0,425.0,286.0,139.0,892.0,658.0,234.0
2002-01-01,Syrien,142.0,149.0,-7.0,3530.0,983.0,2547.0,3672.0,1132.0,2540.0
2002-01-01,Thailand,761.0,659.0,102.0,6786.0,2630.0,4156.0,7547.0,3289.0,4258.0
2002-01-01,Usbekistan,873.0,38.0,835.0,1519.0,388.0,1131.0,2392.0,426.0,1966.0
2002-01-01,China,823.0,1014.0,-191.0,18297.0,8445.0,9852.0,19120.0,9459.0,9661.0
2002-01-01,Übriges Asien,774.0,687.0,87.0,6520.0,4461.0,2059.0,7294.0,5148.0,2146.0
2002-01-01,Australien,1205.0,1715.0,-510.0,2132.0,1653.0,479.0,3337.0,3368.0,-31.0
2002-01-01,Neuseeland,306.0,455.0,-149.0,412.0,301.0,111.0,718.0,756.0,-38.0
2002-01-01,Übriges Ozeanien,85.0,86.0,-1.0,68.0,42.0,26.0,153.0,128.0,25.0
2002-01-01,Unbekanntes Ausland,188.0,5783.0,-5595.0,3478.0,6729.0,-3251.0,3666.0,12512.0,-8846.0
2002-01-01,Ungeklärt / Ohne Angabe,8669.0,10716.0,-2047.0,2348.0,6166.0,-3818.0,11017.0,16882.0,-5865.0
2002-01-01,Insgesamt,184202.0,117683.0,66519.0,658341.0,505572.0,152769.0,842543.0,623255.0,219288.0
2003-01-01,ALB,33.0,44.0,-11.0,1482.0,1008.0,474.0,1515.0,1052.0,463.0
2003-01-01,BIH,124.0,95.0,29.0,8311.0,7790.0,521.0,8435.0,7885.0,550.0
2003-01-01,AND,19.0,15.0,4.0,14.0,11.0,3.0,33.0,26.0,7.0
2003-01-01,BEL,1929.0,2471.0,-542.0,2362.0,2152.0,210.0,4291.0,4623.0,-332.0
2003-01-01,BGR,205.0,141.0,64.0,13204.0,9947.0,3257.0,13409.0,10088.0,3321.0
2003-01-01,DNK,502.0,741.0,-239.0,2191.0,1971.0,220.0,2693.0,2712.0,-19.0
2003-01-01,EST,104.0,60.0,44.0,843.0,537.0,306.0,947.0,597.0,350.0
2003-01-01,FIN,159.0,301.0,-142.0,2045.0,2079.0,-34.0,2204.0,2380.0,-176.0
2003-01-01,FRA,5061.0,6864.0,-1803.0,13072.0,12196.0,876.0,18133.0,19060.0,-927.0
2003-01-01,HRV,267.0,342.0,-75.0,11230.0,11534.0,-304.0,11497.0,11876.0,-379.0
2003-01-01,SVN,61.0,120.0,-59.0,1992.0,2226.0,-234.0,2053.0,2346.0,-293.0
2003-01-01,GRC,883.0,1040.0,-157.0,12076.0,17066.0,-4990.0,12959.0,18106.0,-5147.0
2003-01-01,IRL,587.0,774.0,-187.0,1459.0,1641.0,-182.0,2046.0,2415.0,-369.0
2003-01-01,ISL,49.0,66.0,-17.0,224.0,214.0,10.0,273.0,280.0,-7.0
2003-01-01,ITA,2531.0,3083.0,-552.0,21171.0,30719.0,-9548.0,23702.0,33802.0,-10100.0
